Brand_names,Display_tech,Prices,sound,os,screen_size,Manufacture,Warenty
Foxsky,LED,"₹11,499",30,Android TV,43,2023,1
Samsung,LED,"₹12,990",20,Tizen TV,32,2025,2
SONY,LED,"₹1,32,990",20,Google TV,75,2024,1
Coocaa,LED,"₹42,399",30,Google TV,65,2022,1
Vu,LED,"₹10,699",20,Premium TV,32,2022,1
Mi,LED,"₹38,067",16,Android TV,55,2018,1
Foxsky,QLED,"₹24,999",30,Google TV,55,2024,1
Foxsky,QLED,"₹15,699",30,Google TV,43,2024,1
ONIDA,QLED,"₹27,002",20,Google TV,43,2024,1
SONY,LED,"₹81,174",20,Google TV,65,2024,1
Samsung,LED,"₹26,490",20,Tizen TV,43,2025,2
Hisense,QLED,"₹17,999",30,Google TV,43,2025,1
HUIDI,LED,"₹11,799",20,Based TV,43,2024,1
Coocaa,LED,"₹37,999",30,Google TV,65,2025,1
skylive,LED,"₹11,255",20,Based TV,40,2024,12
acerpure,QLED,"₹41,999",24,Google TV,65,2024,1
Samsung,LED,"₹21,990",20,Tizen TV,43,2025,2
Foxsky,LED,"₹24,499",30,Android TV,55,2023,1
Hisense,QLED,"₹49,999",24,Google TV,65,2023,2
XIAOMI,LED,"₹15,999",20,Android TV,32,2020,1
Samsung,LED,"₹37,990",20,Tizen TV,55,2025,2
Blaupunkt,QLED,"₹25,499",50,Google TV,50,2025,1
Daiwa,QLED,"₹39,052",24,WebOS TV,65,2024,1
Reliance,LED,"₹12,697",24,WebOS TV,32,2025,1
TCL,Mini LED,"₹1,39,990",60,Google TV,75,2025,2
TOSHIBA,QLED,"₹54,999",24,VIDAA TV,65,2025,2
Samsung,LED,"₹12,990",20,Tizen TV,32,2025,2
Foxsky,LED,"₹11,499",30,Android TV,43,2023,1
acerpure,QLED,"₹20,299",20,Google TV,43,2024,1
SONY,LED,"₹60,059",20,Google TV,55,2024,1
Foxsky,QLED,"₹24,999",30,Google TV,55,2024,1
Foxsky,QLED,"₹15,699",30,Google TV,43,2024,1
Hisense,Mini LED,"₹2,69,997",61,VIDAA TV,100,2025,2
TCL,QLED,"₹24,700",30,Google TV,43,2023,2
SONY,LED,"₹70,730",20,Google TV,50,2024,1
TCL,LED,"₹9,490",16,Android TV,32,2024,1
Samsung,LED,"₹26,490",20,Tizen TV,43,2025,2
Hisense,QLED,"₹17,999",30,Google TV,43,2025,1
Thomson,LED,"₹22,099",40,Google TV,50,2023,1
